Item ID,Grade,Subject,Cycle,Released,In Scaling,"TIMSS 2007Block","TIMSS 2007Block Seq",Content Domain,Topic Area,"Topic Area Bullet(Objective)","CognitiveDomain","ScientificInquiry","ItemType",Options,Key,"MaximumPoints",Item Label
M042003,8,M,4,Yes,Yes,M02,1,Number,Whole Numbers,1,Knowing,,MC,4,D,1,Ordering of number
M042079,8,M,4,Yes,Yes,M02,2,Number,Fractions and Decimals,2,Knowing,,MC,4,C,1,Simplify the number
M042018,8,M,4,Yes,Yes,M02,3,Number,Integers,2,Applying,,CR,-,-,1,Place + or - sign in expression
M042055,8,M,4,Yes,Yes,M02,4,Number,"Ratio, Proportion and Percent",2,Applying,,MC,4,B,1,Number of boys in the class
M042039,8,M,4,Yes,Yes,M02,5,Number,"Ratio, Proportion and Percent",4,Applying,,MC,4,A,1,How much Alan save with discount
M042199,8,M,4,Yes,Yes,M02,6,Algebra,Algebraic Expressions,3,Knowing,,MC,4,D,1,Equivalent expression
M042301A,8,M,4,Yes,Yes,M02,07A,Algebra,Patterns,1,Knowing,,CR,-,-,1,Complete the table
M042301B,8,M,4,Yes,Yes,M02,07B,Algebra,Patterns,1,Reasoning,,CR,-,-,1,Interior angles of 10-sided polygon
M042301C,8,M,4,Yes,Yes,M02,07C,Algebra,Patterns,2,Reasoning,,CR,-,-,1,Interior angles of n-sided polygon
M042263,8,M,4,Yes,Yes,M02,8,Algebra,Equations/ Formulas and Functions,6,Reasoning,,CR,-,-,1,Cost of 1 pen and 2 pencils
M042265,8,M,4,Yes,Yes,M02,9,Geometry,Geometric Shapes,7,Reasoning,,MC,4,C,1,Which net when folded forms cube
M042137,8,M,4,Yes,Yes,M02,10,Geometry,Geometric Shapes,3,Applying,,MC,4,C,1,What is the value of x + y
M042148,8,M,4,Yes,Yes,M02,11,Geometry,Location and Movement,1,Knowing,,MC,4,B,1,Point on the graph
M042254,8,M,4,Yes,Yes,M02,12,Data and Chance,Data Organization and Representation,3,Applying,,MC,4,A,1,Representing data on the graph
M042250,8,M,4,Yes,Yes,M02,13,Data and Chance,Data Organization and Representation,1,Knowing,,CR,-,-,1,Number of the tickets sold
M042220,8,M,4,Yes,Yes,M02,14,Data and Chance,Data Organization and Representation,2,Applying,,CR,-,-,2,Make a bar chart 
M042273,8,M,4,Yes,No,M02,15,Data and Chance,Data Interpretation,3,Reasoning,,MC,4,D,1,Why the advertisement is misleading
M022097,8,M,2,Yes,Yes,M03,1,Number,Whole Number,1,Knowing,,MC,4,C,1,Voltage shown on meter
M022101,8,M,2,Yes,Yes,M03,2,Data and Chance,Chance,1,Knowing,,MC,4,A,1,Box with greater chance to pick 17
M022104,8,M,2,Yes,Yes,M03,3,Number,Fractions and Decimals,1,Knowing,,MC,4,D,1,Which fraction is smallest
M022105,8,M,2,Yes,Yes,M03,4,Geometry,Location and Movement,3,Knowing,,MC,5,D,1,Triangle rotated about point P
M022106,8,M,2,Yes,Yes,M03,5,Number,"Ratio, Proportion and Percent",4,Applying,,CR,-,-,1,Ratio of children to adults on bus
M022108,8,M,2,Yes,Yes,M03,6,Geometry,Geometric Shapes,2,Applying,,MC,5,C,1,Degree of angle from supplements
M022110,8,M,2,Yes,Yes,M03,7,Number,Fractions and Decimals,6,Knowing,,CR,-,-,1,Multiply two decimals
M022181,8,M,2,Yes,Yes,M03,8,Data and Chance,Data Organization and Representation,3,Applying,,MC,4,B,1,Graph showing information in table
M032307,8,M,3,Yes,Yes,M03,9,Number,Fractions and Decimals,7,Applying,,CR,-,-,1,Fraction of tickets sold for 10 zeds
M032523,8,M,3,Yes,Yes,M03,10,Number,Fractions and Decimals,7,Applying,,MC,4,B,1,Cups of sugar for 1 1/2 times recipe
M032701,8,M,3,Yes,Yes,M03,11,Number,"Ratio, Proportion and Percent",4,Applying,,MC,4,C,1,1 teacher for every 12 students 
M032704,8,M,3,Yes,Yes,M03,12,Number,"Ratio, Proportion and Percent",4,Applying,,MC,4,B,1,A bus travels at a constant speed
M032525,8,M,3,Yes,Yes,M03,13,Number,Integers,1,Knowing,,MC,4,A,1,The number divided by -6 gives 12
M032579,8,M,3,Yes,Yes,M03,14,Geometry,Geometric Shapes,3,Applying,,MC,4,B,1,The measure of angle C in triangle 
M032691,8,M,3,Yes,Yes,M03,15,Geometry,Geometric Shapes,1,Applying,,CR,-,-,1,Draw angles that are supplementary
M042001,8,M,4,Yes,Yes,M04,1,Number,Whole Numbers,1,Knowing,,MC,4,B,1,Which is the correct number
M042022,8,M,4,Yes,Yes,M04,2,Number,Whole Numbers,2,Knowing,,MC,4,C,1,1080 as product of prime factors
M042082,8,M,4,Yes,Yes,M04,3,Algebra,Algebraic Expressions,2,Knowing,,MC,4,A,1,What is the value of the expression
M042088,8,M,4,Yes,Yes,M04,4,Algebra,Algebraic Expressions,4,Knowing,,MC,4,A,1,Length of the second pipe
M042304A,8,M,4,Yes,Yes,M04,05A,Number,Whole Numbers,5,Applying,,CR,-,-,1,Complete the table for swimming
M042304B,8,M,4,Yes,Yes,M04,05B,Number,"Ratio, Proportion and Percent",4,Applying,,CR,-,-,2,Complete the table for cycling
M042304C,8,M,4,Yes,Yes,M04,05C,Number,"Ratio, Proportion and Percent",4,Applying,,CR,-,-,1,Complete the table for running
M042304D,8,M,4,Yes,Yes,M04,05D,Number,Whole Numbers,5,Reasoning,,CR,-,-,2,Who won the triathlon
M042267,8,M,4,Yes,Yes,M04,6,Algebra,Equations/ Formulas and Functions,6,Applying,,MC,4,D,1,How many grams can be shipped
M042239,8,M,4,Yes,Yes,M04,7,Algebra,Algebraic Expressions,3,Knowing,,MC,4,A,1,Simplify the expression
M042238,8,M,4,Yes,Yes,M04,8,Algebra,Equations/ Formulas and Functions,2,Applying,,MC,4,C,1,Point on the number line
M042279,8,M,4,Yes,Yes,M04,9,Geometry,Geometric Shapes,7,Reasoning,,MC,4,B,1,Which shape the person see
M042036,8,M,4,Yes,Yes,M04,10,Geometry,Geometric Shapes,9,Reasoning,,MC,4,D,1,What is the value of x
M042130,8,M,4,Yes,Yes,M04,11,Geometry,Geometric Measurement,2,Applying,,CR,-,-,1,Draw the triangle 
M042303A,8,M,4,Yes,Yes,M04,12A,Data and Chance,Data Interpretation,1,Knowing,,CR,-,-,1,Mean rating for each subject
M042303B,8,M,4,Yes,Yes,M04,12B,Data and Chance,Data Interpretation,2,Reasoning,,CR,-,-,2,True/false statements
M042222,8,M,4,Yes,Yes,M04,13,Data and Chance,Chance,3,Knowing,,MC,4,A,1,Color of the third marble
M032142,8,M,3,Yes,Yes,M05,1,Number,"Ratio, Proportion and Percent",1,Applying,,MC,4,B,1,Classes with same ratio boy to girl
M032198,8,M,3,Yes,Yes,M05,2,Algebra,Algebraic Expression,1,Knowing,,MC,4,D,1,2 times a squared times 3a
M032640,8,M,3,Yes,Yes,M05,3,Algebra,Patterns,1,Reasoning,,CR,-,-,2,13 matches to make 4 squares 
M032344,8,M,3,Yes,Yes,M05,4,Geometry,Geometric Measurement,3,Applying,,CR,-,-,1,Volume of folded up shape 
M032754,8,M,3,Yes,Yes,M05,5,Geometry,Geometric Measurement,2,Applying,,CR,-,-,1,Class Trip_Fill table with Yes/No
M032755,8,M,3,Yes,Yes,M05,6,Number,"Ratio, Proportion and Percent",4,Reasoning,,CR,-,-,2,Class Trip_Calculations from two ads
M032753A,8,M,3,Yes,Yes,M05,07A,Data and Chance,Data Interpretation,2,Reasoning,,CR,-,-,2,Class Trip_Complete table for Acton
M032753B,8,M,3,Yes,Yes,M05,07B,Data and Chance,Data Interpretation,2,Reasoning,,CR,-,-,2,Class Trip_Fill table for Camford
M032753C,8,M,3,Yes,Yes,M05,07C,Data and Chance,Data Interpretation,2,Knowing,,CR,-,-,1,Class Trip_Towns meeting conditions
M032756,8,M,3,Yes,Yes,M05,8,Data and Chance,Data Interpretation,2,Reasoning,,CR,-,-,1,Class Trip_Town meets conditions
M032205,8,M,3,Yes,Yes,M05,9,Geometry,Geometric Shapes,3,Applying,,MC,4,B,1,The measure of the angle QUS 
M032163,8,M,3,Yes,Yes,M05,10,Algebra,Equations/Formulas and Functions,5,Applying,,MC,4,C,1,Relation between x and y in a table
M042032,8,M,4,No,Yes,M06,1,Number,Fractions and Decimals,5,Knowing,,MC,4,B,1,Write equivalent fraction for 0.125
M042031,8,M,4,No,Yes,M06,2,Number,Fractions and Decimals,4,Applying,,MC,4,A,1,Equivalent expression
M042186,8,M,4,No,Yes,M06,3,Number,Integers,2,Reasoning,,CR,-,-,1,What is the next line in the pattern
M042059,8,M,4,No,Yes,M06,4,Number,"Ratio, Proportion and Percent",3,Knowing,,CR,-,-,2,Complete the missing boxes
M042236,8,M,4,No,Yes,M06,5,Algebra,Algebraic Expressions,3,Knowing,,MC,4,C,1,Simplify the expression
M042226,8,M,4,No,Yes,M06,6,Algebra,Equations/ Formulas and Functions,1,Knowing,,CR,-,-,1,What is the value P
M042103,8,M,4,No,Yes,M06,7,Algebra,Equations/ Formulas and Functions,3,Knowing,,CR,-,-,1,Solve the inequality
M042086,8,M,4,No,Yes,M06,8,Algebra,Equations/ Formulas and Functions,1,Applying,,CR,-,-,1,What is the value of 2a + 2b + 4
M042228,8,M,4,No,Yes,M06,9,Algebra,Patterns,1,Reasoning,,CR,-,-,1,Value of x in the pattern
M042245,8,M,4,No,Yes,M06,10,Algebra,Equations/ Formulas and Functions,2,Applying,,MC,4,D,1,Pair of numbers satisfy the equation
M042270,8,M,4,No,Yes,M06,11,Geometry,Geometric Shapes,4,Applying,,CR,-,-,1,Draw an isosceles triangle
M042201,8,M,4,No,Yes,M06,12,Geometry,Geometric Measurement,3,Applying,,CR,-,-,1,Length of the rectangular box
M042152,8,M,4,No,Yes,M06,13,Geometry,Location and Movement,3,Knowing,,MC,4,D,1,Half-turn around point O
M042269,8,M,4,No,Yes,M06,14,Data and Chance,Data Interpretation,1,Reasoning,,MC,4,C,1,Long jump competition
M042179,8,M,4,No,Yes,M06,15,Data and Chance,Chance,3,Applying,,MC,4,D,1,Chance of getting a button
M042177,8,M,4,No,Yes,M06,16,Data and Chance,Chance,2,Applying,,MC,4,C,1,Number of regular size bottles
M042207,8,M,4,No,Yes,M06,17,Data and Chance,Data Organization and Representation,2,Applying,,CR,-,-,2,Complete and label this pie chart
M032381,8,M,3,Yes,Yes,M07,1,Number,Whole Number,2,Reasoning,,CR,-,-,1,How many children were on the trip
M032416,8,M,3,Yes,Yes,M07,2,Number,Fractions and Decimals,6,Knowing,,MC,4,D,1,Correct procedure for 1/5 minus 1/3
M032160,8,M,3,Yes,Yes,M07,3,Number,"Ratio, Proportion and Percent",4,Applying,,MC,4,D,1,An alloy is made of gold and silver
M032273,8,M,3,Yes,Yes,M07,4,Algebra,Patterns,2,Applying,,MC,4,B,1,"Rule for the pattern of 2,5,11,23"
M032540,8,M,3,Yes,Yes,M07,5,Algebra,Equations/Formulas and Functions,3,Knowing,,MC,4,D,1,3 times(2x minus 1)plus 2x equals 21
M032698,8,M,3,Yes,Yes,M07,6,Algebra,Algebraic Expression,4,Knowing,,MC,4,A,1,Number of jackets Anna has using n
M032097,8,M,3,Yes,Yes,M07,7,Geometry,Geometric Measurement,3,Applying,,MC,4,C,1,How many frogs in circular pond
M032575,8,M,3,Yes,Yes,M07,8,Geometry,Geometric Measurement,4,Applying,,MC,4,B,1,Area of figure in square cm
M032414,8,M,3,Yes,Yes,M07,9,Geometry,Geometric Shapes,2,Applying,,CR,-,-,1,Value of angle x in a figure
M032294,8,M,3,Yes,Yes,M07,10,Geometry,Location and Movement,1,Applying,,MC,4,A,1,Point P so MNP is isosceles triangle
M032688,8,M,3,Yes,Yes,M07,11,Data and Chance,Chance,2,Applying,,CR,-,-,1,Draw lines in spinner using table
M032529,8,M,3,Yes,Yes,M07,12,Number,"Ratio, Proportion and Percent",4,Applying,,MC,4,B,1,Percentage reduction in sale
M032637A,8,M,3,Yes,Yes,M07,13A,Data and Chance,Data Organization and Representation,2,Applying,,CR,-,-,1,Be Fit Health Club/label lines
M032637B,8,M,3,Yes,Yes,M07,13B,Data and Chance,Data Organization and Representation,1,Knowing,,CR,-,-,1,Be Fit Health Club/identify week
M032637C,8,M,3,Yes,Yes,M07,13C,Data and Chance,Data Organization and Representation,1,Applying,,CR,-,-,1,Be Fit Health Club/costs at 24 weeks
M042183,8,M,4,No,Yes,M08,1,Number,Fractions and Decimals,2,Knowing,,MC,4,D,1,Find the number 
M042060,8,M,4,No,Yes,M08,2,Number,"Ratio, Proportion and Percent",3,Knowing,,MC,4,B,1,Fraction by which price reduced by
M042019,8,M,4,No,Yes,M08,3,Number,Whole Numbers,5,Knowing,,CR,-,-,1,Approximate the sum 
M042023,8,M,4,No,Yes,M08,4,Number,Fractions and Decimals,1,Applying,,CR,-,-,1,Which is larger 7/12 or 2/3
M042197,8,M,4,No,Yes,M08,5,Number,Integers,1,Reasoning,,CR,-,-,1,Rule to get terms in the pattern
M042234,8,M,4,No,Yes,M08,6,Algebra,Equations/ Formulas and Functions,3,Knowing,,MC,4,C,1,What is the value of x
M042066,8,M,4,No,Yes,M08,7,Algebra,Patterns,1,Reasoning,,CR,-,-,1,Missing term in the sequence
M042243,8,M,4,No,Yes,M08,8,Algebra,Equations/ Formulas and Functions,2,Knowing,,MC,4,A,1,Which equation is satisfied 
M042248,8,M,4,No,Yes,M08,9,Algebra,Equations/ Formulas and Functions,3,Knowing,,CR,-,-,1,What is the value of n
M042229A,8,M,4,No,Yes,M08,10A,Algebra,Equations/ Formulas and Functions,4,Applying,,CR,-,-,1,Write an equation to find x
M042229B,8,M,4,No,Yes,M08,10B,Algebra,Equations/ Formulas and Functions,6,Knowing,,CR,-,-,1,Length of longest side of triangle
M042080A,8,M,4,No,Yes,M08,11A,Algebra,Algebraic Expressions,1,Knowing,,CR,-,-,1,What is a+b
M042080B,8,M,4,No,Yes,M08,11B,Algebra,Algebraic Expressions,1,Knowing,,CR,-,-,1,What is a-b
M042120,8,M,4,No,Yes,M08,12,Geometry,Geometric Shapes,2,Knowing,,MC,4,A,1,Statement about Lines L and M
M042203,8,M,4,No,Yes,M08,13,Geometry,Geometric Shapes,3,Applying,,MC,4,C,1,What is the value of x
M042264,8,M,4,No,Yes,M08,14,Geometry,Geometric Shapes,6,Reasoning,,CR,-,-,1,Conditions for similar triangles
M042255,8,M,4,No,Yes,M08,15,Data and Chance,Data Organization and Representation,3,Applying,,MC,4,B,1,Representing data on a pie chart
M042224,8,M,4,No,Yes,M08,16,Data and Chance,Data Interpretation,2,Knowing,,CR,-,-,1,Estimate the temperature
M032094,8,M,3,No,Yes,M09,1,Number,Fractions and Decimals,2,Knowing,,MC,4,A,1,4/100 plus 3/1000
M032662,8,M,3,No,Yes,M09,2,Number,Fractions and Decimals,3,Reasoning,,MC,4,D,1,Location of N on number line
M032064,8,M,3,No,Yes,M09,3,Number,Fractions and Decimals,7,Applying,,CR,-,-,1,Ann and Jenny divide 560 zeds 
M032419,8,M,3,No,Yes,M09,4,Algebra,Algebraic Expression,4,Knowing,,MC,4,C,1,Which represents 2x plus 3x
M032477,8,M,3,No,Yes,M09,5,Algebra,Algebraic Expression,4,Knowing,,MC,4,A,1,Cost in zeds for taxi trip of n km
M032538,8,M,3,No,Yes,M09,6,Algebra,Equations/Formulas and Functions,1,Knowing,,CR,-,-,1,Find the value of y when t is 9
M032324,8,M,3,No,Yes,M09,7,Geometry,Geometric Shapes,9,Reasoning,,MC,4,D,1,Distance from midpoints of AB and BC
M032116,8,M,3,No,Yes,M09,8,Geometry,Geometric Measurement,3,Applying,,MC,4,B,1,Area of a square is 144 square cm
M032100,8,M,3,No,Yes,M09,9,Geometry,Geometric Measurement,4,Applying,,MC,4,D,1,Shape made up of same size cubes 
M032402,8,M,3,No,Yes,M09,10,Geometry,Geometric Shapes,8,Reasoning,,MC,4,A,1,Why triangle is right angle triangle
M032734,8,M,3,No,Yes,M09,11,Geometry,Geometric Shapes,7,Knowing,,CR,-,-,1,View of shape directly from above
M032397,8,M,3,No,Yes,M09,12,Geometry,Location and Movement,3,Knowing,,MC,4,B,1,Figure 1 transformed to 2 and 3
M032695,8,M,3,No,Yes,M09,13,Data and Chance,Data Organization and Representation,2,Applying,,CR,-,-,2,Make a pie chart showing proportions
M032132,8,M,3,No,Yes,M09,14,Data and Chance,Chance,1,Knowing,,MC,4,D,1,How likely to get pink candy 
M042041,8,M,4,No,Yes,M10,1,Number,Fractions and Decimals,6,Applying,,MC,4,C,1,Length of the original pipe
M042024,8,M,4,No,Yes,M10,2,Number,Fractions and Decimals,3,Knowing,,MC,4,B,1,What is K on a number  line
M042016,8,M,4,No,Yes,M10,3,Number,Whole Numbers,4,Applying,,MC,4,A,1,Express 256 X 4096 as a power of 4 
M042002,8,M,4,No,Yes,M10,4,Number,Whole Numbers,1,Reasoning,,CR,-,-,1,Numbers to get greatest results
M042198A,8,M,4,No,Yes,M10,05A,Algebra,Patterns,1,Knowing,,CR,-,-,1,Next term in the pattern
M042198B,8,M,4,No,Yes,M10,05B,Algebra,Patterns,1,Reasoning,,CR,-,-,1,Term number 100 in the pattern
M042198C,8,M,4,No,Yes,M10,05C,Algebra,Patterns,2,Reasoning,,CR,-,-,1,Term number n in the pattern
M042077,8,M,4,No,Yes,M10,6,Algebra,Algebraic Expressions,3,Knowing,,MC,4,C,1,Expression to equivalent to 4(3+x)
M042235,8,M,4,No,Yes,M10,7,Algebra,Equations/ Formulas and Functions,3,Knowing,,MC,4,D,1,What is the value of x and y
M042067,8,M,4,No,Yes,M10,8,Algebra,Algebraic Expressions,4,Applying,,MC,4,B,1,What is the area of the rectangle
M042150,8,M,4,No,Yes,M10,9,Geometry,Location and Movement,2,Knowing,,MC,4,B,1,Which shape has a line of symmetry
M042300A,8,M,4,No,Yes,M10,10A,Geometry,Location and Movement,1,Applying,,CR,-,-,1,Mark the points B and C on graph 
M042300B,8,M,4,No,Yes,M10,10B,Geometry,Geomteric Measurement,1,Applying,,CR,-,-,1,Measure of angle BOC
M042260,8,M,4,No,Yes,M10,11,Data and Chance,Chance,1,Knowing,,MC,4,B,1,How likely student had voted for Pat
M042169A,8,M,4,No,Yes,M10,12A,Data and Chance,Data Interpretation,1,Knowing,,CR,-,-,1,Mean number of staff members
M042169B,8,M,4,No,Yes,M10,12B,Data and Chance,Data Interpretation,1,Knowing,,CR,-,-,1,Median number of staff members
M042169C,8,M,4,No,Yes,M10,12C,Data and Chance,Data Interpretation,2,Applying,,CR,-,-,1,Change in mean and median
M032352,8,M,3,No,Yes,M11,1,Algebra,Patterns,1,Applying,,MC,4,C,1,The shadow lengths of four bushes
M032725,8,M,3,No,Yes,M11,2,Number,Fractions and Decimals,5,Knowing,,CR,-,-,1,Write 3 5/6 in decimal form
M032683,8,M,3,No,Yes,M11,3,Algebra,Algebraic Expression,3,Knowing,,CR,-,-,2,Simplify 3x/8 plus x/4 plus x/2
M032738,8,M,3,No,Yes,M11,4,Algebra,Algebraic Expression,4,Knowing,,MC,4,D,1,What xy plus 1 mean
M032295,8,M,3,No,Yes,M11,5,Algebra,Algebraic Expression,4,Knowing,,MC,4,A,1,m boys and n girls in a parade
M032331,8,M,3,No,Yes,M11,6,Geometry,Geometric Shapes,9,Applying,,MC,4,B,1,Degrees minute hand of clock turns
M032623,8,M,3,No,Yes,M11,7,Geometry,Geometric Measurement,4,Applying,,MC,4,D,1,Area of the shaded region in figure
M032679,8,M,3,No,Yes,M11,8,Geometry,Geometric Shapes,3,Knowing,,MC,4,A,1,Shape of cutout figure
M032047,8,M,3,No,Yes,M11,9,Algebra,Algebraic Expression,4,Applying,,MC,4,B,1,Sum of 3 consecutive whole numbers
M032398,8,M,3,No,Yes,M11,10,Geometry,Geometric Shapes,9,Reasoning,,MC,4,B,1,Value of angle x in figure
M032507,8,M,3,No,Yes,M11,11,Data and Chance,Chance,3,Applying,,MC,4,C,1,Number of times spinner in red area
M032424,8,M,3,No,Yes,M11,12,Algebra,Equations/Formulas and Functions,3,Reasoning,,MC,4,C,1,Jo has 3 metal blocks to weigh
M032681A,8,M,3,No,Yes,M11,13A,Data and Chance,Data Organization and Representation,1,Knowing,,CR,-,-,1,Car production graph/time cars made
M032681B,8,M,3,No,Yes,M11,13B,Data and Chance,Data Interpretation,2,Applying,,CR,-,-,1,Car production graph/average by hour
M032681C,8,M,3,No,Yes,M11,13C,Data and Chance,Data Interpretation,2,Applying,,CR,-,-,1,Car production graph/identify time
M042015,8,M,4,No,Yes,M12,1,Number,Whole Numbers,4,Knowing,,MC,4,C,1,What is the value of cube of 3
M042196,8,M,4,No,Yes,M12,2,Number,Whole Numbers,2,Knowing,,MC,4,C,1,Speed on the speedometer 
M042194,8,M,4,No,Yes,M12,3,Number,"Ratio, Proportion and Percent",4,Knowing,,CR,-,-,1,Present of games the team lose
M042114A,8,M,4,No,Yes,M12,04A,Number,"Ratio, Proportion and Percent",1,Knowing,,CR,-,-,1,Complete the table
M042114B,8,M,4,No,Yes,M12,04B,Number,"Ratio, Proportion and Percent",4,Applying,,CR,-,-,1,Number of papers in a 28mm stack
M042112,8,M,4,No,Yes,M12,5,Algebra,Equations/ Formulas and Functions,5,Applying,,MC,4,D,1,Relationship between x and y 
M042109,8,M,4,No,Yes,M12,6,Algebra,Equations/ Formulas and Functions,4,Applying,,MC,4,D,1,Formula for the distance car travels
M042050,8,M,4,No,Yes,M12,7,Algebra,Algebraic Expressions,2,Knowing,,CR,-,-,1,What is the value of the expression
M042074A,8,M,4,No,Yes,M12,08A,Algebra,Patterns,1,Reasoning,,CR,-,-,1,Number of circles for pattern 4 & 30
M042074B,8,M,4,No,Yes,M12,08B,Algebra,Patterns,2,Reasoning,,CR,-,-,1,Procedure for finding the number
M042074C,8,M,4,No,Yes,M12,08C,Algebra,Patterns,2,Reasoning,,CR,-,-,1,Rule for finding number of circles
M042151,8,M,4,No,Yes,M12,9,Geometry,Location and Movement,2,Applying,,CR,-,-,1,Shape with AB as line of symmetry
M042132,8,M,4,No,Yes,M12,10,Geometry,Geometric Shapes,8,Reasoning,,MC,4,A,1,What is the perimeter of the figure
M042257,8,M,4,No,Yes,M12,11,Geometry,Geometric Shapes,3,Reasoning,,MC,4,C,1,Which 2 shapes fit together
M042158,8,M,4,No,Yes,M12,12,Data and Chance,Data Interpretation,2,Knowing,,MC,4,B,1,Difference between high and low temp
M042252,8,M,4,No,Yes,M12,13,Data and Chance,Data Interpretation,2,Applying,,MC,4,A,1,Speed time graph
M042261,8,M,4,No,Yes,M12,14,Data and Chance,Chance,1,Knowing,,MC,4,C,1,How likely it will rain
M032166,8,M,3,No,Yes,M13,1,Number,Fractions and Decimals,7,Knowing,,MC,4,B,1,Best estimate of (7.21x3.86)/10.09
M032721,8,M,3,No,Yes,M13,2,Data and Chance,Data Interpretation,2,Reasoning,,MC,4,B,1,Sales of two types of soft drink
M032757,8,M,3,No,Yes,M13,3,Algebra,Patterns,1,Reasoning,,CR,-,-,2,Red&Black Tiles_Complete table
M032760A,8,M,3,No,Yes,M13,04A,Algebra,Patterns,1,Reasoning,,CR,-,-,2,Red&Black Tiles_Shape with 64 tiles 
M032760B,8,M,3,No,Yes,M13,04B,Algebra,Patterns,2,Reasoning,,CR,-,-,1,Red&Black Tiles_Shape with 49 tiles
M032760C,8,M,3,No,Yes,M13,04C,Algebra,Patterns,2,Reasoning,,CR,-,-,1,Red&Black Tiles_Shape with 44 tiles
M032761,8,M,3,No,Yes,M13,5,Algebra,Algebraic Expression,4,Reasoning,,CR,-,-,2,Red&Black Tiles_Figure n
M032692,8,M,3,No,Yes,M13,6,Geometry,Geometric Shapes,9,Reasoning,,CR,-,-,2,Sum of interior angles of pentagon 
M032626,8,M,3,No,Yes,M13,7,Number,Whole Number,2,Knowing,,MC,4,D,1,36 as a product of prime factors
M032595,8,M,3,No,Yes,M13,8,Number,"Ratio, Proportion and Percent",4,Applying,,MC,4,C,1,The percentage of caps for sale
M032673,8,M,3,No,Yes,M13,9,Algebra,Algebraic Expression,2,Knowing,,MC,4,C,1,If t is a number between 6 and 9
M042182,8,M,4,No,Yes,M14,1,Number,Fractions and Decimals,6,Applying,,MC,4,C,1,How far did john jump
M042081,8,M,4,No,Yes,M14,2,Number,Fractions and Decimals,2,Knowing,,CR,-,-,1,Write as decimal number
M042049,8,M,4,No,Yes,M14,3,Algebra,Equations/ Formulas and Functions,1,Knowing,,MC,4,C,1,What is value of 3x+3y
M042052,8,M,4,No,Yes,M14,4,Number,"Ratio, Proportion and Percent",1,Knowing,,MC,4,A,1,Ratio equivalent to 1:4
M042076,8,M,4,No,Yes,M14,5,Algebra,Algebraic Expressions,4,Knowing,,MC,4,D,1,Expression for one-fifth of x
M042302A,8,M,4,No,Yes,M14,06A,Number,Whole Numbers,5,Applying,,CR,-,-,2,Cost of phone for 1 year
M042302B,8,M,4,No,Yes,M14,06B,Number,Whole Numbers,5,Applying,,CR,-,-,2,Pay after first year
M042302C,8,M,4,No,Yes,M14,06C,Number,Whole Numbers,5,Reasoning,,CR,-,-,2,Which plan is less expensive
M042100,8,M,4,No,Yes,M14,7,Algebra,Equations/ Formulas and Functions,2,Knowing,,MC,4,C,1,Pair of numbers that satisfy eqn
M042202,8,M,4,No,Yes,M14,8,Algebra,Equations/ Formulas and Functions,4,Applying,,MC,4,B,1,Formula for K the cost of trip
M042240,8,M,4,No,Yes,M14,9,Algebra,Equations/ Formulas and Functions,2,Applying,,MC,4,D,1,Value of x and y
M042093,8,M,4,No,Yes,M14,10,Algebra,Equations/ Formulas and Functions,1,Applying,,CR,-,-,1,Temperature at mountain top
M042271,8,M,4,No,Yes,M14,11,Geometry,Geometric Shapes,7,Applying,,MC,4,C,1,How many cubes were left
M042268,8,M,4,No,Yes,M14,12,Geometry,Geometric Shapes,8,Reasoning,,MC,4,B,1,Area of the triangle ABC
