"ta1" "ta2" "ta3" "ta4" "ta5"
"80" 2 2 1 2 2
"81" 1 3 2 1 2
"82" 1 1 1 0 0
"83" NA 2 1 0 0
"84" 1 1 0 1 2
"85" 1 2 1 2 2
"86" 0 0 1 0 2
"87" NA 2 2 1 1
"88" NA 2 0 1 NA
"89" 1 2 1 1 1
"90" 1 0 2 1 0
"91" 3 2 2 3 2
"92" 2 1 1 1 1
"93" 1 2 1 0 0
"94" 0 0 1 0 0
"95" 2 2 1 1 2
"96" 0 1 1 0 0
"97" 1 1 1 1 2
"98" 2 3 1 0 2
"99" 2 2 1 0 1
"100" 0 0 0 0 0
"101" 1 1 1 1 1
"102" 1 3 0 0 0
"103" 0 0 2 1 2
"104" 1 0 0 0 0
"105" 2 0 1 1 1
"106" 1 1 1 0 3
"107" 0 0 0 0 0
"108" 0 3 1 0 1
"109" NA 1 2 1 1
"110" 1 1 2 1 0
"111" 2 2 2 1 1
"112" 3 1 3 2 0
"113" NA 2 1 1 2
"114" 1 1 0 0 1
"115" 1 2 NA 0 2
"116" 2 NA 1 1 1
"117" 2 3 2 0 3
"118" 1 0 0 0 0
"119" 2 1 1 1 1
"120" 1 2 2 1 2
"121" 1 2 3 1 2
"122" 1 3 0 0 1
"123" 1 2 1 0 1
"124" 1 1 1 0 0
"125" 0 2 1 0 0
"126" 1 3 2 0 2
"127" 1 1 0 0 0
"128" 0 2 1 0 1
"129" 1 0 0 1 0
"130" 1 1 1 1 1
"131" 1 3 1 1 2
"132" 0 1 1 0 0
"133" 2 0 0 0 0
"134" 3 2 1 0 1
"135" 0 2 1 0 0
"136" 0 2 1 0 2
"137" 0 0 0 2 1
"138" 1 0 1 0 0
"139" 1 2 1 0 2
"140" 1 2 1 1 1
"141" 1 2 0 0 0
"142" 1 2 1 1 1
"143" 1 0 1 1 2
"144" 0 1 2 2 1
"145" NA 2 0 1 3
"146" 1 2 1 1 2
"147" 0 0 2 1 2
"148" 2 1 1 0 0
"149" 1 2 1 2 1
"150" NA NA 1 1 1
"151" 0 0 0 1 0
"152" 1 1 1 1 3
"153" 1 2 1 1 1
"154" 3 2 3 NA 3
"155" 1 0 2 1 1
"156" 1 2 1 1 1
"157" 1 0 1 1 0
"158" 1 2 1 1 2
"159" 1 2 1 0 2
"160" 1 2 2 2 3
"161" 1 2 2 1 1
"162" 0 NA 2 1 3
"163" 1 0 0 1 0
"164" 0 2 1 0 2
"165" 1 2 1 1 2
"166" 2 0 0 0 0
"167" 1 1 1 1 1
"168" 0 3 0 0 1
"169" 1 2 1 1 0
"170" 3 0 2 1 1
"171" 1 2 1 1 2
"172" 0 1 1 0 0
"173" 1 1 1 1 1
"174" 1 1 0 0 1
"175" 1 3 1 0 2
"176" 1 2 0 1 1
"177" 1 3 0 0 0
"178" 1 1 1 0 1
"179" 1 0 1 0 0
"180" 0 1 1 0 0
"181" 1 2 1 1 2
"182" 0 NA 1 0 0
"183" 1 1 1 0 0
"184" 1 1 1 1 1
"185" 1 3 3 1 2
"186" 1 1 1 0 2
"187" 1 2 1 1 1
"188" 1 1 1 0 0
"189" 0 NA 1 0 0
"190" 1 2 1 0 0
"191" 1 0 0 0 0
"192" 0 1 1 0 0
"193" 0 1 0 0 0
"194" 1 3 0 2 3
"195" 0 0 0 0 1
"196" 2 0 1 0 3
"197" NA 0 0 0 0
"198" 0 2 2 1 0
"199" 0 1 1 1 1
"200" 0 2 2 1 2
"201" 0 2 0 0 2
"202" 0 1 1 0 0
"203" 3 1 0 1 2
"204" 1 2 1 1 1
"205" 1 NA 1 0 2
"206" 1 2 1 1 2
"207" 2 1 1 0 0
"208" 1 2 1 1 1
"209" 0 1 2 0 0
"210" 3 3 2 3 3
"211" 0 2 1 0 0
"212" 1 0 1 0 1
"213" 1 0 0 0 1
"214" 1 2 2 1 2
"215" 1 NA 0 0 1
"216" 0 2 2 0 0
"217" 1 1 1 0 1
"218" 2 2 1 1 1
"219" 0 3 1 0 2
"220" 2 2 2 1 1
"221" 3 2 0 1 2
"222" 1 2 1 1 1
"223" 1 1 1 1 1
"224" NA 2 0 0 0
"225" 1 2 1 0 0
"226" 2 NA 1 1 3
"227" 1 1 1 1 1
"228" 1 1 2 1 2
"229" 1 2 1 3 2
"230" 3 NA 3 1 1
"231" 1 2 1 1 1
"232" 1 3 1 0 1
"233" NA 2 1 1 2
"234" 1 0 1 1 1
"235" 1 2 0 0 1
"236" 1 3 2 2 2
"237" NA 0 0 0 0
"238" 3 2 1 1 2
"239" 1 1 2 1 1
"240" 0 0 0 0 1
"241" 1 2 2 0 0
"242" 0 3 1 1 0
"243" NA 1 1 1 0
"244" 1 2 3 0 0
"245" 0 1 1 0 1
"246" NA 2 NA 1 1
"247" 0 1 1 0 1
"248" 2 2 3 1 1
"249" NA 0 1 1 1
"250" 1 2 1 1 1
"251" 0 3 1 0 1
"252" 0 1 2 0 1
"253" 2 1 1 1 1
"254" 0 0 1 0 0
"255" 1 2 2 1 1
"256" 0 3 0 1 0
"257" 0 0 1 0 1
"258" 2 2 1 1 NA
"259" 1 1 1 1 1
"260" 2 1 1 1 2
"261" 0 1 2 0 0
"262" 0 3 0 0 0
"263" 1 1 1 2 2
"264" 1 2 1 0 2
"265" 1 0 0 1 1
"266" 2 0 3 3 2
"267" 2 2 3 0 0
"268" 1 1 1 1 1
"269" 3 3 3 3 3
"270" 1 1 0 1 1
"271" 1 0 0 0 1
"272" 0 0 0 0 0
"273" 2 1 2 2 1
"274" 1 1 1 0 0
"275" 1 0 0 0 0
"276" 1 3 3 1 0
"277" 0 0 0 0 0
"278" 2 1 2 2 2
"279" 1 0 0 1 1
"280" 2 0 0 1 1
"281" 2 0 NA 1 3
"282" 1 2 1 1 1
"283" 0 1 1 1 1
"284" 1 2 1 1 2
"285" 0 3 1 0 2
"286" 3 2 2 2 3
"287" 2 0 0 0 0
"288" 1 2 1 2 1
"289" 2 1 1 NA 1
"290" 3 0 1 0 1
"291" 2 1 0 1 2
"292" 1 1 0 0 0
"293" 2 NA 1 1 1
"294" NA NA 0 3 3
"295" 0 2 1 1 2
"296" 0 2 1 0 0
"297" 1 2 2 1 2
"298" 1 0 1 1 0
"299" 1 2 2 1 2
"300" 1 2 1 0 2
"301" 1 2 1 0 2
"302" 1 0 2 1 1
"303" 0 2 0 1 3
"304" 1 1 1 0 0
"305" 1 2 1 0 1
"306" 0 1 2 NA 1
"307" 1 2 0 1 1
"308" 2 2 2 1 2
"309" NA 1 2 NA 1
"310" 0 NA 2 0 3
"311" 2 1 1 0 1
"312" 0 1 1 1 1
"313" 1 2 1 1 3
"314" 1 1 1 1 2
"315" 1 2 1 2 NA
"316" 1 2 0 0 0
"317" 2 0 1 0 0
"318" 2 1 1 0 1
"319" 1 2 1 1 1
"320" 0 0 1 1 3
"321" NA 2 1 1 1
"322" 0 2 2 2 3
"323" 1 3 1 1 2
"324" 1 2 0 1 2
"325" 0 2 1 2 1
"326" 1 2 1 1 1
"327" NA 1 1 1 1
"328" 1 2 1 0 1
"329" 1 1 1 0 1
"330" 0 0 0 0 0
"331" 3 0 3 3 2
"332" 0 2 1 0 3
"333" 3 2 1 1 0
"334" 2 3 0 0 2
"335" 2 0 1 1 2
"336" 1 0 1 0 0
"337" 1 0 0 0 1
"338" 0 1 1 0 1
"339" 2 1 2 2 1
"340" NA 2 1 0 2
"341" 3 1 3 0 3
"342" 0 NA 1 0 1
"343" 0 3 0 0 0
"344" 1 3 1 0 0
"345" 3 1 0 0 0
"346" 1 1 1 1 1
"347" 1 2 1 1 1
"348" 3 3 3 2 2
"349" 1 2 2 1 2
"350" 2 2 2 1 1
"351" 2 1 1 1 1
"352" 1 1 1 0 1
"353" 2 1 3 3 2
"354" 0 1 2 0 0
"355" 1 1 1 1 0
"356" 1 2 1 1 NA
"357" 1 3 2 2 3
"358" 2 2 2 3 2
"359" 1 0 1 0 0
"360" 1 0 0 0 0
"361" 0 0 0 0 0
"362" 1 2 1 0 3
"363" 2 2 2 1 1
"364" 0 0 1 0 0
"365" 1 NA 2 0 NA
"366" 2 0 2 NA 0
"367" NA 1 1 1 1
"368" 0 NA 1 0 1
"369" 0 0 0 0 0
"370" 0 0 1 1 1
"371" 0 1 1 1 0
"372" 0 1 0 1 0
"373" 1 2 2 0 3
"374" 3 2 1 1 0
"375" 1 1 1 1 2
"376" 3 2 2 1 1
"377" 1 2 1 2 2
"378" 1 1 1 1 1
"379" 0 2 1 0 0
"380" 1 1 1 1 1
"381" 1 2 1 1 NA
"382" 2 0 0 0 1
"383" 1 1 0 1 2
"384" 2 3 2 1 2
"385" 1 1 1 1 2
"386" 1 1 1 0 1
"387" 1 2 1 1 0
"388" 2 0 1 1 0
"389" 3 1 1 1 3
"390" 1 0 0 0 0
"391" 2 2 1 1 1
"392" 0 3 0 0 0
"393" 1 2 2 1 2
"394" 2 1 NA 2 2
"395" 2 0 0 0 0
"396" 2 3 3 2 2
"397" 2 1 2 2 2
"398" 0 0 0 0 0
"399" 2 3 3 NA 1
"400" 2 0 0 0 1
"401" NA NA NA NA NA
"402" 1 2 0 1 2
"403" 1 0 1 1 0
"404" 2 0 3 3 0
"405" 1 2 1 1 2
"406" 0 2 1 1 0
"407" 0 3 2 1 2
"408" 0 1 0 0 0
"409" 1 1 1 1 0
"410" 2 0 0 0 0
"411" 3 3 2 0 0
"412" 2 1 2 1 1
"413" NA 0 1 1 2
"414" 0 0 0 0 0
"415" 1 1 1 1 1
"416" 1 1 1 1 1
"417" 1 2 2 0 0
"418" 2 2 2 1 0
"419" 2 NA 1 0 1
"420" 1 3 NA 0 2
"421" 2 2 1 1 3
"422" 2 1 0 0 0
"423" 2 1 2 2 2
"424" 0 0 0 0 0
"425" 1 2 1 1 2
"426" NA 0 0 0 1
"427" 1 1 1 0 1
"428" 0 1 3 2 1
"429" 1 2 3 2 2
"430" 1 2 2 1 1
"431" NA NA NA NA NA
"432" 0 0 1 0 0
"433" 1 1 1 1 1
"434" 1 1 1 0 1
"435" 1 3 0 0 0
"436" 1 2 1 0 2
"437" 1 2 1 0 1
"438" 2 2 1 1 1
"439" 0 1 1 1 2
"440" 1 1 0 1 1
"441" 1 0 0 2 0
"442" NA 0 0 0 0
"443" 1 2 1 1 2
"444" 2 3 2 1 1
"445" NA 3 2 2 NA
"446" 1 2 2 1 1
"447" 1 1 1 1 1
"448" 1 1 1 1 2
"449" 2 1 2 1 1
"450" 1 3 1 1 2
"451" 1 1 0 0 1
"452" 1 3 0 0 2
"453" 0 2 1 1 2
"454" NA 1 0 0 1
"455" 1 1 3 2 2
"456" 0 1 1 1 2
"457" 2 2 NA 1 1
"458" 1 0 1 0 0
"459" 0 0 1 1 2
"460" 2 1 2 2 3
"461" 0 1 1 1 3
"462" 1 2 2 1 1
"463" 1 2 1 1 1
"464" 1 2 1 1 2
"465" 1 3 1 0 0
"466" 0 2 0 1 0
"467" 1 2 1 1 2
"468" 3 1 3 2 3
"469" 0 3 2 1 0
"470" NA 1 2 0 3
"471" 0 1 2 1 2
"472" 2 2 1 2 2
"473" 1 1 1 1 0
"474" 3 3 2 3 3
"475" 1 1 1 0 0
"476" 0 0 1 0 0
"477" 0 2 1 1 1
"478" 0 2 1 1 0
"479" 1 0 1 0 0
"480" 0 0 0 3 3
"481" 1 3 0 0 1
"482" 1 0 1 2 2
"483" 2 2 2 0 1
"484" 1 2 1 0 1
"485" 1 0 1 0 0
"486" NA NA 1 1 2
"487" 2 1 0 1 1
"488" 0 2 1 1 2
"489" NA 2 1 0 2
"490" 2 0 0 0 0
"491" 3 2 2 NA 3
"492" 2 3 3 3 2
"493" 2 0 0 3 0
"494" 1 0 0 0 0
"495" 3 1 0 0 3
"496" 2 2 1 3 1
"497" 0 2 1 1 1
"498" 0 1 0 1 1
"499" 2 2 2 0 3
"500" 0 2 1 1 2
"501" 2 NA 0 1 0
"502" 1 1 2 2 1
"503" 2 1 1 1 2
"504" NA NA 3 3 0
"505" 1 2 1 0 2
"506" 0 3 2 0 3
"507" 0 1 1 1 3
"508" 2 2 3 2 1
"509" 0 1 2 0 0
"510" NA 0 0 1 1
"511" 3 3 3 2 3
"512" 1 1 1 0 0
"513" 0 0 1 1 1
"514" 0 0 3 0 0
"515" 1 2 1 2 1
"516" 1 1 1 0 1
"517" 2 1 0 2 3
"518" 0 2 1 1 0
"519" 3 3 0 1 1
"520" 1 2 1 1 2
"521" 1 2 2 2 1
"522" 2 3 2 0 2
"523" 2 2 2 1 3
"524" 1 2 1 1 1
"525" 1 2 0 0 0
"526" 1 0 0 2 0
"527" 1 3 2 2 3
"528" 2 3 1 1 0
"529" 1 2 1 0 1
"530" NA 2 1 1 1
"531" 0 2 1 1 1
"532" 2 1 2 NA 1
"533" 2 3 2 1 3
"534" 1 1 1 3 2
"535" 1 1 0 1 0
"536" 0 0 0 1 1
"537" 1 2 2 2 1
"538" 0 1 1 0 2
"539" 1 1 2 1 2
"540" 1 2 1 1 2
"541" 1 3 3 3 2
"542" NA 1 1 1 1
"543" 2 2 1 0 1
"544" 3 1 1 1 2
"545" 0 0 0 0 0
"546" 1 1 1 1 1
"547" 1 2 NA 1 NA
"548" 2 2 2 1 2
"549" 1 2 1 0 1
"550" 0 NA 0 0 2
"551" 2 2 1 1 2
"552" 1 2 1 1 0
"553" NA 1 1 1 1
"554" 1 3 0 0 0
"555" NA 1 1 1 1
"556" 0 0 3 1 3
"557" 1 1 1 1 1
"558" 1 1 1 0 1
"559" 1 3 2 1 2
"560" NA 1 1 0 2
"561" 0 1 1 0 1
"562" 1 2 1 1 1
"563" 1 1 1 0 0
"564" 2 2 0 1 0
"565" 0 2 1 0 0
"566" 2 3 3 2 1
"567" 0 2 1 1 1
"568" 2 2 2 1 1
"569" 1 2 0 1 1
"570" 2 0 0 0 1
"571" 2 2 1 2 2
"572" 0 2 0 0 2
"573" 1 1 2 1 2
"574" 1 2 1 1 1
"575" 0 1 1 1 0
"576" 1 2 3 0 3
"577" 2 3 3 2 1
"578" 2 2 2 1 2
"579" 1 2 1 1 2
"580" 2 2 1 2 3
"581" 1 0 1 0 0
"582" 1 2 0 2 1
"583" 1 3 1 0 3
"584" 2 1 0 0 1
"585" 1 2 1 1 1
"586" 1 2 2 2 2
"587" 2 2 1 1 0
"588" 3 3 3 1 2
"589" 1 3 1 0 1
"590" 1 2 2 1 0
"591" 1 3 1 NA 0
"592" 1 2 0 0 0
"593" 0 2 1 1 NA
"594" 1 2 1 1 2
"595" NA 2 NA 1 2
"596" 2 1 1 2 1
"597" 1 1 1 2 1
"598" 0 3 2 1 1
"599" 3 1 1 0 1
"600" 1 1 1 1 1
"601" 2 1 1 1 2
"602" 3 2 3 2 2
"603" 0 2 0 1 2
"604" 1 2 1 1 2
"605" 1 2 0 0 1
"606" 1 0 0 0 2
"607" 1 2 1 0 0
"608" 1 1 3 0 0
"609" 2 1 2 1 1
"610" 1 2 2 1 3
"611" 0 0 0 0 NA
"612" 3 3 0 0 0
"613" 1 2 1 1 2
"614" 0 0 0 1 1
"615" 2 1 2 1 1
"616" NA NA 1 2 1
"617" 1 3 0 2 1
"618" NA NA NA NA NA
"619" 0 2 2 1 1
"620" 2 1 1 1 0
"621" 0 2 1 0 1
"622" 2 2 0 0 0
"623" 1 0 0 0 0
"624" 1 2 0 1 1
"625" 1 2 1 1 1
"626" 1 2 1 1 2
"627" 2 0 2 3 0
"628" NA 0 1 0 0
"629" 1 1 1 1 1
"630" 1 2 1 1 1
"631" 0 1 3 0 0
"632" 1 1 1 0 0
"633" 1 NA 1 0 NA
"634" NA 2 1 1 1
"635" 1 1 1 1 1
"636" 1 2 1 0 0
"637" 0 2 1 1 1
"638" 3 3 3 2 3
"639" 1 1 1 1 1
"640" 0 2 1 1 1
"641" 1 NA 1 2 1
"642" 1 0 1 1 0
"643" 1 1 2 1 1
"644" 1 0 1 1 0
"645" 1 0 0 0 0
"646" 1 1 1 1 1
"647" 2 2 1 1 0
"648" 1 1 1 2 2
"649" 1 2 1 1 3
"650" 0 0 0 0 0
"651" 1 2 1 1 1
"652" 0 1 1 0 1
"653" 0 0 0 0 1
"654" 3 3 3 3 3
"655" 2 1 0 0 0
"656" 1 3 0 1 1
"657" 1 1 0 0 0
"658" 0 3 0 0 0
"659" 3 0 1 0 1
"660" 1 2 1 0 1
"661" 2 2 1 1 1
"662" 0 NA 0 3 3
"663" 2 2 1 1 1
"664" 1 2 0 1 1
"665" 1 2 1 1 1
"666" 1 1 1 1 1
"667" 2 2 2 1 2
"668" 0 0 0 0 0
"669" 1 0 1 0 1
"670" 0 0 0 1 0
"671" 1 1 1 1 1
"672" 0 0 1 1 0
"673" 1 1 2 1 1
"674" 1 0 1 0 1
"675" 0 1 0 1 1
"676" 1 0 0 0 1
"677" 0 0 0 0 0
"678" 1 2 1 0 0
"679" 1 2 1 2 1
"680" 1 0 1 0 0
"681" 1 1 2 1 1
"682" 1 0 1 0 0
"683" 1 2 1 0 2
"684" 0 2 1 1 2
"685" 1 0 0 0 0
"686" 3 0 1 0 0
"687" 1 1 1 1 0
"688" NA 2 1 1 2
"689" 1 1 1 0 1
"690" 0 1 1 1 0
"691" 2 2 2 1 0
"692" 1 3 1 2 3
"693" 2 2 1 2 1
"694" 1 2 1 0 1
"695" 1 0 1 1 0
"696" 2 1 1 1 2
"697" 1 2 1 1 2
"698" 0 1 0 0 0
"699" 1 3 3 1 3
"700" 1 0 1 0 1
"701" 0 2 1 1 3
"702" 3 2 1 1 1
"703" 2 2 1 0 2
"704" NA 2 NA 0 2
"705" 0 2 1 1 1
"706" 1 2 2 1 2
"707" 1 1 1 0 1
"708" NA 1 1 1 1
"709" 2 NA 1 1 1
"710" 1 NA 1 1 3
"711" 1 0 1 1 0
"712" 0 1 1 0 1
"713" 1 2 1 1 2
"714" 2 1 1 0 2
"715" 0 3 0 1 0
"716" 1 1 1 1 1
"717" 2 2 1 0 0
"718" 0 0 0 1 0
"719" 1 1 2 0 1
"720" 0 NA 0 0 0
"721" 0 0 0 0 0
"722" 0 0 1 1 0
"723" 2 2 1 0 1
"724" NA 0 0 1 0
"725" 1 3 3 1 3
"726" 3 2 2 1 2
"727" 0 3 0 0 0
"728" 1 1 2 1 2
"729" 0 0 0 0 0
"730" 2 1 1 0 0
"731" 0 0 0 0 0
"732" 0 1 1 0 1
"733" 1 2 1 1 1
"734" 2 2 2 1 2
"735" 2 0 1 0 1
"736" 0 0 0 0 0
"737" 1 1 1 1 1
"738" 1 2 1 1 2
"739" 2 1 0 0 3
"740" 1 0 1 0 1
"741" 1 2 1 0 2
"742" 3 0 2 2 2
"743" 1 0 0 0 0
"744" 0 0 1 0 0
"745" 1 2 1 0 3
"746" 2 2 1 3 3
"747" NA 2 2 3 3
"748" 1 2 1 0 2
"749" 2 0 3 3 1
"750" 0 0 0 1 2
"751" 1 2 1 1 1
"752" 1 2 1 1 2
"753" 1 1 1 0 1
"754" 1 1 1 0 0
"755" 1 2 2 1 1
"756" 2 0 1 1 1
"757" NA 1 1 0 0
"758" 1 3 0 0 1
"759" 1 2 0 1 1
"760" 1 2 2 0 0
"761" 1 0 1 1 1
"762" 1 2 1 1 0
"763" 1 1 1 1 2
"764" 1 2 0 1 2
"765" 1 2 1 0 2
"766" 2 0 0 0 0
"767" 1 2 1 1 1
"768" 1 2 1 1 0
"769" 2 2 3 2 1
"770" 0 2 0 0 0
"771" 1 1 1 1 1
"772" 2 2 1 0 0
"773" 0 2 1 0 0
"774" 1 2 1 1 1
"775" 0 2 1 0 2
"776" NA 2 1 1 2
"777" 1 0 0 1 1
"778" 1 1 0 1 1
"779" 1 2 1 1 1
"780" 0 1 0 0 1
"781" 0 1 0 0 1
"782" 1 3 2 1 1
"783" 0 2 1 0 0
"784" 1 2 0 0 0
"785" 1 2 1 2 1
"786" 2 1 1 1 1
"787" 0 0 1 0 1
"788" 1 1 1 0 1
"789" 2 3 1 1 2
"790" 0 0 0 0 1
"791" 2 0 0 0 2
"792" NA NA 1 0 0
"793" 1 2 0 0 2
"794" 1 0 0 0 3
"795" 2 3 2 1 1
"796" 2 2 1 1 1
"797" 1 NA 0 0 0
"798" 1 2 0 0 0
"799" NA 1 1 1 NA
"800" 0 1 1 0 0
"801" 1 0 1 0 0
"802" 1 0 1 0 0
"803" 3 2 2 1 1
"804" NA NA NA NA NA
"805" 2 1 2 1 2
"806" 0 1 1 0 3
"807" 2 2 1 0 3
"808" 3 2 3 3 3
"809" 1 NA 1 1 1
"810" 2 1 1 1 0
"811" 0 1 1 0 1
"812" 1 2 2 1 NA
"813" 3 1 0 0 0
"814" 2 1 2 1 2
"815" 3 0 1 0 0
"816" 0 2 1 1 2
"817" 1 2 2 1 1
"818" 2 2 1 1 2
"819" 2 3 1 1 1
"820" 1 0 0 0 0
"821" 1 1 1 1 1
"822" 2 1 0 0 0
"823" 1 2 1 1 2
"824" 1 1 1 0 1
"825" 0 1 1 0 0
"826" 1 1 1 0 0
"827" 1 3 2 1 2
"828" 1 2 1 1 2
"829" 1 2 1 1 3
"830" 1 2 NA 1 NA
"831" 0 0 0 0 0
"832" 2 2 1 1 1
"833" 1 2 1 0 2
"834" 2 1 1 2 2
"835" NA 2 NA 1 NA
"836" 0 2 1 2 2
"837" 1 0 1 0 0
"838" 1 0 1 0 2
"839" 3 1 1 2 2
"840" 0 0 0 0 0
"841" 2 2 1 1 2
"842" 1 1 0 0 0
"843" 1 1 1 1 1
"844" 1 0 0 0 0
"845" 1 2 2 2 1
"846" 1 1 2 1 1
"847" 1 2 2 1 2
"848" 1 0 0 0 1
"849" 2 3 1 2 3
"850" 1 1 1 0 1
"851" 0 3 0 0 0
"852" 1 2 1 1 1
"853" 3 1 1 0 1
"854" 1 2 1 1 2
"855" 2 2 2 2 2
"856" 2 2 0 0 0
"857" 0 1 2 1 1
"858" 1 1 1 1 1
"859" 1 1 1 1 1
"860" 3 1 1 0 1
"861" 1 1 1 1 2
"862" NA NA NA 1 1
"863" 1 1 1 1 1
"864" 0 0 0 1 0
"865" 0 1 1 1 1
"866" 1 2 1 1 2
"867" 0 2 1 2 2
"868" 3 3 2 0 1
"869" 2 2 2 1 2
"870" 1 2 1 1 2
"871" 1 2 1 1 1
"872" 0 3 1 1 3
"873" 1 2 1 1 2
"874" 1 2 0 0 0
"875" 1 2 1 1 2
"876" 1 2 1 1 1
"877" 1 2 1 1 2
"878" 1 0 1 0 1
"879" 0 0 1 1 3
"880" 1 2 1 1 2
"881" NA NA 1 0 1
"882" 1 2 1 1 2
"883" 2 1 3 2 1
"884" 1 1 0 0 1
"885" 0 1 2 0 1
"886" 2 2 1 2 2
"887" 2 2 1 1 2
"888" 3 1 1 2 3
"889" 3 0 0 0 0
"890" 0 0 0 0 0
"891" 1 2 1 1 2
"892" 1 2 1 1 2
"893" 2 2 1 1 NA
"894" 1 1 1 1 0
"895" 0 0 0 0 0
"896" 2 2 0 0 0
"897" 2 2 2 2 3
"898" NA 1 1 2 1
"899" 3 2 3 3 0
"900" 1 2 2 1 1
"901" 1 0 1 0 0
"902" 3 3 3 3 3
"903" 0 0 0 0 0
"904" 1 0 0 0 0
"905" 3 1 0 1 1
"906" 1 3 0 0 2
"907" 3 1 2 1 2
"908" 0 0 0 0 1
"909" 1 1 NA 0 NA
"910" 1 1 1 2 1
"911" 2 2 1 2 1
"912" 1 2 1 0 1
"913" 2 1 2 1 1
"914" 2 3 0 1 1
"915" 2 0 3 3 1
"916" 2 3 2 NA 0
"917" 0 1 1 1 1
"918" 2 2 2 3 2
"919" 2 2 1 0 2
"920" 3 3 3 3 3
"921" 1 2 1 0 2
"922" 3 2 3 3 3
"923" 0 2 1 0 1
"924" NA 2 NA 1 0
"925" 1 0 0 1 1
"926" 1 2 2 2 1
"927" 2 2 1 1 2
"928" 2 0 0 0 0
"929" 1 3 2 1 0
"930" 1 3 1 1 1
"931" 2 2 2 1 2
"932" 0 NA NA 0 0
"933" 0 3 0 0 3
"934" 2 1 1 1 0
"935" 1 2 0 0 1
"936" NA 2 1 1 0
"937" 1 1 0 0 0
"938" 0 2 1 1 1
"939" 1 2 1 1 1
"940" 2 2 NA 1 NA
"941" 2 3 1 2 1
"942" 1 2 2 1 3
"943" 3 3 3 3 2
"944" 1 1 1 1 0
"945" 1 2 2 1 2
"946" 0 3 0 0 0
"947" 1 0 1 0 0
"948" 2 3 1 1 1
"949" 1 0 0 0 1
